江西本地,#genre#

江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225557/iptv7969.smil
江西都市频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226728/53707442.smil
江西经济生活,rtsp://115.153.254.81/PLTV/88888888/224/3221226717/53707446.smil
江西影视旅游,rtsp://115.153.254.81/PLTV/88888888/224/3221226704/53213102.smil
江西公共农业,rtsp://115.153.254.81/PLTV/88888888/224/3221227066/95315400.smil
江西少儿,rtsp://115.153.254.81/PLTV/88888888/224/3221226724/53707450.smil
江西新闻,rtsp://115.153.254.81/PLTV/88888888/224/3221226654/53213094.smil
江西教育,rtsp://115.153.254.81/PLTV/88888888/224/3221226568/10000100000000060000000002002624_0.smil



央视频道,#genre#
CCTV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225517/iptv7949.smil
CCTV2,rtsp://115.153.254.81/PLTV/88888888/224/3221225519/iptv7950.smil
CCTV3,rtsp://115.153.254.81/PLTV/88888888/224/3221226837/63145950.smil
CCTV4,rtsp://115.153.254.81/PLTV/88888888/224/3221225521/iptv7951.smil
CCTV5,rtsp://115.153.254.81/PLTV/88888888/224/3221226835/63145836.smil
CCTV6,rtsp://115.153.254.81/PLTV/88888888/224/3221226839/63145891.smil
CCTV7,rtsp://115.153.254.81/PLTV/88888888/224/3221225523/iptv7952.smil
CCTV8,rtsp://115.153.254.81/PLTV/88888888/224/3221226850/63145890.smil
CCTV9,rtsp://115.153.254.81/PLTV/88888888/224/3221226792/55683313.smil
CCTV10,rtsp://115.153.254.81/PLTV/88888888/224/3221225527/iptv7954.smil
CCTV11,rtsp://115.153.254.81/PLTV/88888888/224/3221225529/iptv7955.smil
CCTV12,rtsp://115.153.254.81/PLTV/88888888/224/3221225531/iptv7956.smil
CCTV13,rtsp://115.153.254.81/PLTV/88888888/224/3221225533/iptv7957.smil
CCTV14,rtsp://115.153.254.81/PLTV/88888888/224/3221225535/iptv7958.smil
CCTV15,rtsp://115.153.254.81/PLTV/88888888/224/3221225537/iptv7959.smil
CCTV17,rtsp://115.153.254.81/PLTV/88888888/224/3221226848/61397333.smil
CETV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225751/iptv101710.smil
CGTV,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
CCTV4HD-欧洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226964/77799053.smil
CCTV4HD-美洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226962/77799052.smil
CGTN,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
CGTN-英语,rtsp://115.153.254.81/PLTV/88888888/224/3221226947/77798966.smil
CGTN-英文纪录,rtsp://115.153.254.81/PLTV/88888888/224/3221226960/77798993.smil
CGTN-西班牙语,rtsp://115.153.254.81/PLTV/88888888/224/3221226949/77798970.smil
CGTN-法语,rtsp://115.153.254.81/PLTV/88888888/224/3221226968/77799060.smil
CGTN-阿拉伯语,rtsp://115.153.254.81/PLTV/88888888/224/3221226951/77799001.smil
CGTN-俄语,rtsp://115.153.254.81/PLTV/88888888/224/3221226966/77798997.smil
导视,rtsp://115.153.254.81/PLTV/88888888/224/3221225623/iptv8002.smil
Discovery全纪实,rtsp://115.153.254.81/PLTV/88888888/224/3221225605/iptv7993.smil

支持作者,https://vd2.bdstatic.com/mda-phje20fz4z8h126t/720p/h264/1692525385713349507/mda-phje20fz4z8h126t.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1692536679-0-0-384af0ac122eee8fab76c327a47308c4&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0279906713&vid=4268605015135290173&klogid=0279906713&abtest=111803_1-112162_2-112345_1
支持作者,https://pan.proton218.top/d/%E5%A4%A9%E7%BF%BC%E5%88%86%E4%BA%AB/video-web/jieshao.mp4?sign=9BTNyUzwqMwdWHh20XKtvZcdkFh0WMn-6z4bX7_XZ6k=:0
支持作者,https://tv.proton218.top/jieshao/playlist.m3u8
支持作者,https://zbds.dnwx.vip/jieshao/playlist.m3u8
支持作者,https://zbds.dnwx.vip/jieshao.mp4
支持作者,https://img.proton218.top/zbds/jieshao.mp4



卫视频道,#genre#
湖南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225553/iptv7967.smil
浙江卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225545/iptv7963.smil
江苏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225543/iptv7962.smil
东方卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225541/iptv7961.smil
北京卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225539/iptv7960.smil
广东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225575/iptv7978.smil
深圳卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225587/iptv7984.smil
湖北卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225555/iptv7968.smil
天津卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225565/iptv7973.smil
安徽卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225547/iptv7964.smil
辽宁卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225567/iptv7974.smil
山东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225549/iptv7965.smil
东南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225573/iptv7977.smil
云南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225775/10000100000000060000000000195766_0.smil
吉林卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225569/iptv7975.smil
西藏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225570/iptv101725.smil
