01央视频道,#genre#
CCTV1高清,http://101.71.255.229:6610/zjhs/2/10079/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV1高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV1高清,http://221.230.141.252/live-cnc-cdn.ysp.CCTV.cn/ysp/2000210103.m3u8
CCTV1高清,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV2高清,http://101.71.255.229:6610/zjhs/2/10082/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV2高清,http://101.71.255.229:6610/zjhs/2/10089/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV2高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV2高清,http://221.230.141.252/live-cnc-cdn.ysp.CCTV.cn/ysp/2000203603.m3u8
CCTV2高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV2高清,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV3高清,http://101.71.255.229:6610/zjhs/2/10069/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV3高清,http://221.230.141.252/live-cnc-cdn.ysp.CCTV.cn/ysp/2000203803.m3u8
CCTV3高清,http://112.50.243.8/PLTV/88888888/224/3221225924/1.m3u8
CCTV4高清,http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV4高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV4高清,http://221.230.141.252/live-cnc-cdn.ysp.CCTV.cn/ysp/2000204803.m3u8
CCTV4高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV4高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8
CCTV4高清,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV5+高清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
